DMSC,¦¤GOOH,¦¤GOH,¦¤GO,¦¤G1,¦¤G2,¦¤G3,¦¤G4,UL,L,EA1,EA2,R1,R2,P1,P2,Z1,Z2,N1,N2,Nd1,Nd2,IE1,IE2,IE1/Nd1,IE2/Nd2,IE1*L,IE2*L,P1/Nd1,P2/Nd2,P1*Nd1,P2*Nd2,P1+P2,|P1-P2|,R1+R2
Fe/Co,2.84,-0.18,1.39,-2.08,-1.45,-1.57,0.18,-0.18,2.63,0.151,0.662256,2.44,2.4,1.83,1.88,26,27,8,9,6,7,7.902468,7.88101,1.317078,1.125858571,20.78349084,20.7270563,0.305,0.268571429,10.98,13.16,3.71,0.05,4.84
Fe/Cr,2.88,-0.21,1.37,-2.04,-1.51,-1.58,0.21,-0.21,2.74,0.151,0.666,2.44,2.45,1.83,1.66,26,24,8,6,6,5,7.902468,6.76651,1.317078,1.353302,21.65276232,18.5402374,0.305,0.332,10.98,8.3,3.49,0.17,4.89
Fe/Cu,3.98,0.71,1.64,-0.94,-2.34,-0.93,-0.71,0.71,2.62,0.151,1.235,2.44,2.38,1.83,1.9,26,29,8,11,6,10,7.902468,7.72638,1.317078,0.772638,20.70446616,20.2431156,0.305,0.19,10.98,19,3.73,0.07,4.82
Fe/Fe,3.44,0.39,1.61,-1.48,-1.83,-1.22,-0.39,0.39,2.63,0.151,0.151,2.44,2.44,1.83,1.83,26,26,8,8,6,6,7.902468,7.902468,1.317078,1.317078,20.78349084,20.78349084,0.305,0.305,10.98,10.98,3.66,0,4.88
Fe/Mn,2.86,-0.22,1.3,-2.06,-1.56,-1.52,0.22,-0.22,2.78,0.151,-0.51821331,2.44,2.45,1.83,1.55,26,25,8,7,6,5,7.902468,7.434038,1.317078,1.4868076,21.96886104,20.66662564,0.305,0.31,10.98,7.75,3.38,0.28,4.89
Fe/Zn,3.9,0.5,1.37,-1.02,-2.53,-0.87,-0.5,0.5,2.66,0.151,-0.60112744,2.44,2.39,1.83,1.65,26,30,8,12,6,10,7.902468,9.394197,1.317078,0.9394197,21.02056488,24.98856402,0.305,0.165,10.98,16.5,3.48,0.18,4.83
Fe/Ni,3.43,0.58,1.85,-1.49,-1.58,-1.27,-0.58,0.58,2.58,0.151,1.156,2.44,2.4,1.83,1.91,26,28,8,10,6,8,7.902468,7.639878,1.317078,0.95498475,20.38836744,19.71088524,0.305,0.23875,10.98,15.28,3.74,0.08,4.84
Fe/Pt,3.98,0.94,2.21,-0.94,-1.77,-1.27,-0.94,0.94,2.57,0.151,2.128,2.44,2.29,1.83,2.2,26,78,8,10,6,9,7.902468,8.95883,1.317078,0.995425556,20.30934276,23.0241931,0.305,0.244444444,10.98,19.8,4.03,0.37,4.73
Fe/Ru,3.73,0.91,1.13,-1.19,-2.6,-0.22,-0.91,0.22,2.61,0.151,1.05,2.44,2.46,1.83,2.2,26,44,8,8,6,7,7.902468,7.3605,1.317078,1.0515,20.62544148,19.210905,0.305,0.314285714,10.98,15.4,4.03,0.37,4.9
Fe/Pd,3.11,0.04,1.67,-1.81,-1.44,-1.63,-0.04,0.04,2.57,0.151,0.562,2.44,2.15,1.83,2.2,26,46,8,10,6,10,7.902468,8.336839,1.317078,0.8336839,20.30934276,21.42567623,0.305,0.22,10.98,22,4.03,0.37,4.59
Fe/Rh,2.46,-0.63,0.9,-2.46,-1.56,-1.53,0.63,-0.63,2.61,0.151,1.137,2.44,2.44,1.83,2.28,26,45,8,9,6,8,7.902468,7.4589,1.317078,0.9323625,20.62544148,19.467729,0.305,0.285,10.98,18.24,4.11,0.45,4.88
Co/Co,3.49,0.35,2.16,-1.43,-1.33,-1.81,-0.35,0.35,2.61,0.662256,0.662256,2.4,2.4,1.88,1.88,27,27,9,9,7,7,7.88101,7.88101,1.125858571,1.125858571,20.5694361,20.5694361,0.268571429,0.268571429,13.16,13.16,3.76,0,4.8
Co/Cr,3.27,0.31,2.02,-1.65,-1.24,-1.72,-0.31,0.31,2.64,0.662256,0.666,2.4,2.45,1.88,1.66,27,24,9,6,7,5,7.88101,6.76651,1.125858571,1.353302,20.8058664,17.8635864,0.268571429,0.332,13.16,8.3,3.54,0.22,4.85
Co/Cu,3.69,0.48,2.84,-1.23,-0.85,-2.36,-0.48,0.48,2.58,0.662256,1.235,2.4,2.38,1.88,1.9,27,29,9,11,7,10,7.88101,7.72638,1.125858571,0.772638,20.3330058,19.9340604,0.268571429,0.19,13.16,19,3.78,0.02,4.78
Co/Fe,4.06,0.87,2.18,-0.87,-1.88,-1.31,-0.86,0.86,2.63,0.662256,0.151,2.4,2.44,1.88,1.83,27,26,9,8,7,6,7.88101,7.902468,1.125858571,1.317078,20.7270563,20.78349084,0.268571429,0.305,13.16,10.98,3.71,0.05,4.84
Co/Mn,3.26,0.1,2.13,-1.66,-1.12,-2.04,-0.1,0.1,2.75,0.662256,-0.51821331,2.4,2.45,1.88,1.55,27,25,9,7,7,5,7.88101,7.434038,1.125858571,1.4868076,21.6727775,20.4436045,0.268571429,0.31,13.16,7.75,3.43,0.33,4.85
Co/Ni,3.38,0.51,1.89,-1.54,-1.49,-1.37,-0.51,0.51,2.62,0.662256,1.156,2.4,2.4,1.88,1.91,27,28,9,10,7,8,7.88101,7.639878,1.125858571,0.95498475,20.6482462,20.01648036,0.268571429,0.23875,13.16,15.28,3.79,0.03,4.8
Co/Zn,3.06,0.17,2.02,-1.86,-1.04,-1.86,-0.17,0.17,2.65,0.662256,-0.60112744,2.4,2.39,1.88,1.65,27,30,9,12,7,10,7.88101,9.394197,1.125858571,0.9394197,20.8846765,24.89462205,0.268571429,0.165,13.16,16.5,3.53,0.23,4.79
